05302012 005923	1523	17.2	20.8	35.2
05302012 015923	1524	17.2	20.8	34.6
05302012 025923	1525	17.2	20.8	34.6
05302012 035923	1526	17.2	20.8	34.4
05302012 045923	1527	17	20.6	34
05302012 055923	1528	17	20.6	33.8
05302012 065923	1529	17	20.6	33.6
05302012 075923	1530	17	20.6	33.8
05302012 085923	1531	17	20.6	34
05302012 095923	1532	17	20.6	32.6
05302012 105923	1533	16.8	20.2	33.2
05302012 115923	1534	17	20.2	33.8
05302012 125923	1535	17	20.4	34.2
05302012 135923	1536	17	20.6	34.6
05302012 145923	1537	17	20.6	34.8
05302012 155923	1538	17	20.6	35
05302012 165923	1539	17	20.8	35
05302012 175923	1540	17	20.8	35
05302012 185923	1541	17	20.8	35
05302012 195923	1542	17.2	20.8	34.6
05302012 205923	1543	17.2	20.8	34.4
05302012 215923	1544	17	20.8	34.2
05302012 225923	1545	17	20.6	33.8
05302012 235923	1546	17	20.6	33.8
05312012 005923	1547	17	20.6	33.6
05312012 015923	1548	17	20.6	33.6
05312012 025923	1549	17	20.6	33.4
05312012 035923	1550	17	20.4	33.2
05312012 045923	1551	17	20.4	32.8
05312012 055923	1552	17	20.2	32.6
05312012 065923	1553	16.8	20.2	32.6
05312012 075923	1554	16.8	20.2	32.4
05312012 085923	1555	16.8	20.2	32.4
05312012 095923	1556	16.8	20	32.6
05312012 105923	1557	16.8	20	32.6
05312012 115923	1558	16.8	20	32.6
05312012 125923	1559	16.8	20.2	32.8
05312012 135923	1560	16.8	20.2	32.6
05312012 145923	1561	16.8	20.2	32.6
05312012 155923	1562	16.8	20	32.4
05312012 165923	1563	16.8	20	32.2
05312012 175923	1564	16.8	20	32.2
05312012 185923	1565	16.8	20	32.2
05312012 195923	1566	16.8	20	32.2
05312012 205923	1567	16.8	20	32.2
05312012 215923	1568	16.8	20	32.2
05312012 225923	1569	16.8	20	32.2
05312012 235923	1570	16.8	19.8	32
06012012 0059	1571	16.8	19.8	32
